Text,Label
WIN FREE MONEY NOW! Click here!!!,1
Congratulations! You won $1000000,1
URGENT: Your account needs verification,1
Get rich quick! Limited time offer!,1
Free pills! No prescription needed!,1
You are a winner! Claim your prize!,1
CLICK HERE FOR FREE MONEY!!!,1
Lose weight fast! Buy now!,1
AMAZING OFFER! Buy one get ten FREE!!!,1
Your PayPal account has been suspended. Verify NOW!,1
Make $5000 per week working from home!,1
HOT SINGLES in your area want to meet YOU!,1
Viagra 80% OFF! No questions asked!,1
You've been selected for a FREE cruise! Act now!,1
URGENT: IRS tax refund waiting. Click to claim!,1
Lose 30 pounds in 30 days GUARANTEED!,1
FREE iPhone 15! Just pay shipping!,1
Work from home and earn $10k monthly!,1
LAST CHANCE! Clearance sale ends today!,1
Claim your inheritance of $5 million now!,1
DISCOUNT MEDS! 90% off all prescriptions!,1
Meet hot women tonight! Sign up free!,1
Your Amazon account is locked. Verify immediately!,1
WINNER! You won the lottery! Send fee to claim!,1
Get paid to surf the web! $500/day!,1
ENLARGE YOUR MANHOOD! Miracle pills!,1
Debt relief! Eliminate all your debt now!,1
FREE laptop! Limited stock! Order today!,1
Nigerian prince needs your help transferring funds!,1
CLICK NOW or lose your account forever!,1
Earn $1000 daily from home! No experience needed!,1
Your bank account has been compromised! Click here!,1
FREE GIFT CARDS! Limited availability!,1
Lost 50lbs in 2 weeks with this ONE trick!,1
You qualify for a $50000 loan! Apply now!,1
CONGRATULATIONS! You're our 1 millionth visitor!,1
Act now! This offer expires in 10 minutes!,1
Risk-free investment! 500% returns guaranteed!,1
Your Netflix account will be suspended! Update payment!,1
FREE vacation to Hawaii! Just attend our seminar!,1
Buy followers! 10000 Instagram followers for $5!,1
URGENT: Package delivery failed. Pay redelivery fee!,1
Microsoft has detected viruses on your computer!,1
You've inherited $10M from a distant relative!,1
Cash advance of $5000 approved! No credit check!,1
Miracle cure for baldness! Guaranteed results!,1
Your car warranty is about to expire! Renew now!,1
Free iPhone 16 Pro Max! Pay only shipping!,1
CLICK TO CLAIM YOUR PRIZE NOW!!!,1
Make money while you sleep! Passive income secret!,1
Congratulations! You won a brand new Tesla!,1
Your Google account has been hacked! Reset password!,1
Weight loss miracle! Lose 40 pounds in 30 days!,1
Free money for everyone! Government grant!,1
URGENT: Your computer has been infected with malware!,1
Hot stock tip! Buy now before it's too late!,1
Claim your FREE casino bonus! $1000 waiting!,1
You've been pre-approved for a credit card!,1
Get rich with cryptocurrency! 1000% gains!,1
Your Apple ID has been locked! Verify identity!,1
FREE MONEY MAKING SYSTEM! Earn $500/hour!,1
Limited time: Get paid to read emails!,1
Your Facebook account will be deleted! Click here!,1
Miracle anti-aging cream! Look 20 years younger!,1
URGENT: Tax refund of $8500 ready to claim!,1
Congratulations! You won a luxury cruise!,1
Make $10000 in 24 hours! Proven method!,1
Your Instagram account has been reported! Appeal now!,1
FREE Bitcoin giveaway! Claim your share!,1
LAST CHANCE to save your account! Click now!,1
Meet beautiful singles near you tonight!,1
Your shipment is delayed! Pay customs fee!,1
Increase your credit score by 200 points instantly!,1
FREE TRIAL! Cancel anytime! (auto-renews at $199),1
You've been selected for medical trial! $5000 payment!,1
URGENT: Your social security number has been suspended!,1
WIN A BRAND NEW CAR! Enter now!,1
Eliminate wrinkles in 7 days! Doctor approved!,1
Your subscription will auto-renew! Cancel to avoid charge!,1
Get ripped in 30 days! Fitness secret revealed!,1
FREE MONEY! No strings attached! Click here!,1
Your parcel is waiting! Pay $2.99 delivery fee!,1
Congratulations! Pre-approved for $100k loan!,1
HOT INVESTMENT TIP! Triple your money!,1
Your email account will expire! Upgrade now!,1
FREE vacation package! 5-star resort!,1
URGENT: Your computer license has expired!,1
Make thousands with this simple trick!,1
You've won a $500 Amazon gift card!,1
Your Twitter account has been compromised!,1
GET RICH QUICK! Millionaire secrets revealed!,1
Free samples! Just pay shipping and handling!,1
Your Apple Watch has been shipped! Track package!,1
URGENT: Your benefits will expire! Renew now!,1
Congratulations! You're eligible for government grant!,1
Lose belly fat with this weird trick!,1
Your LinkedIn profile has been viewed 1000 times!,1
FREE MONEY waiting in your name!,1
URGENT: Unusual activity on your account!,1
Get a perfect credit score in 30 days!,1
You've been selected as a mystery shopper! $500/week!,1
Your TikTok account will be banned! Appeal now!,1
WIN BIG! Mega jackpot drawing tonight!,1
Eliminate debt completely! Call now!,1
"Hey, are we still meeting for lunch?",0
The report is ready for review.,0
Can you send me the project files?,0
Meeting scheduled for 3pm tomorrow.,0
Thanks for your help yesterday.,0
Let me know when you're available.,0
The lighthouse story was interesting.,0
Please review the attached document.,0
Can you pick up milk on your way home?,0
The quarterly results look promising.,0
